name_a,name_b,cipher,kamea,overall_resonance,node_similarity,edge_similarity,node_weight_similarity,edge_weight_similarity,vector_similarity,alignment_similarity,node_overlap_ratio,edge_overlap_ratio,shared_node_count,shared_edge_count,unique_nodes_a,unique_nodes_b,unique_edges_a,unique_edges_b
Michael Elvis Brockway,River Christian Tremblay,hebrew_phonetic,saturn,0.5869401379148188,0.875,0.23076923076923078,0.6041666666666667,0.17307692307692307,0.9808155069760923,0.6578125,0.875,0.23076923076923078,7,6,1,0,10,10
Michael Elvis Brockway,River Christian Tremblay,hebrew_phonetic,jupiter,0.530765818996562,0.9,0.12121212121212122,0.5916666666666667,0.10606060606060606,0.9839888533733121,0.48166666666666663,0.9,0.12121212121212122,9,4,0,1,14,15
Michael Elvis Brockway,River Christian Tremblay,hebrew_phonetic,mars,0.6034830792160961,1.0,0.13333333333333333,0.7158730158730159,0.13333333333333333,0.9578032372013384,0.6805555555555556,1.0,0.13333333333333333,9,4,0,0,12,14
Michael Elvis Brockway,River Christian Tremblay,hebrew_phonetic,sun,0.6128991327087725,0.8333333333333334,0.15151515151515152,0.6569444444444444,0.15151515151515152,0.9778367154445539,0.90625,0.8333333333333334,0.15151515151515152,10,5,1,1,13,15
Michael Elvis Brockway,River Christian Tremblay,hebrew_phonetic,venus,0.5545714833083121,0.9166666666666666,0.08823529411764706,0.6111111111111112,0.08823529411764706,0.9773472005034672,0.6458333333333334,0.9166666666666666,0.08823529411764706,11,3,1,0,15,16
Michael Elvis Brockway,River Christian Tremblay,hebrew_phonetic,mercury,0.5365884251899129,0.8333333333333334,0.08571428571428572,0.6097222222222222,0.08571428571428572,0.9626853130442391,0.6423611111111112,0.8333333333333334,0.08571428571428572,10,3,0,2,15,17
Michael Elvis Brockway,River Christian Tremblay,hebrew_phonetic,moon,0.5296478423838425,0.7857142857142857,0.08571428571428572,0.5952380952380952,0.08571428571428572,0.9856251495411508,0.6398809523809523,0.7857142857142857,0.08571428571428572,11,3,1,2,15,17
Antonio Ballester,Lance Dean Folks,ordinal,saturn,0.5797257333568631,0.7142857142857143,0.18181818181818182,0.5714285714285714,0.1590909090909091,0.9916119758987542,0.8601190476190477,0.7142857142857143,0.18181818181818182,5,4,1,1,10,8
Antonio Ballester,Lance Dean Folks,ordinal,jupiter,0.5059443500937484,0.6363636363636364,0.08,0.5,0.06,0.9676357975321876,0.7916666666666666,0.6363636363636364,0.08,7,2,2,2,13,10
Antonio Ballester,Lance Dean Folks,ordinal,mars,0.43457563619104556,0.42857142857142855,0.038461538461538464,0.39285714285714285,0.019230769230769232,0.9723805570730131,0.7559523809523809,0.42857142857142855,0.038461538461538464,6,1,4,4,14,11
Antonio Ballester,Lance Dean Folks,ordinal,sun,0.43457563619104556,0.42857142857142855,0.038461538461538464,0.39285714285714285,0.019230769230769232,0.9723805570730131,0.7559523809523809,0.42857142857142855,0.038461538461538464,6,1,4,4,14,11
Antonio Ballester,Lance Dean Folks,ordinal,venus,0.43457563619104556,0.42857142857142855,0.038461538461538464,0.39285714285714285,0.019230769230769232,0.9723805570730131,0.7559523809523809,0.42857142857142855,0.038461538461538464,6,1,4,4,14,11
Antonio Ballester,Lance Dean Folks,ordinal,mercury,0.43457563619104556,0.42857142857142855,0.038461538461538464,0.39285714285714285,0.019230769230769232,0.9723805570730131,0.7559523809523809,0.42857142857142855,0.038461538461538464,6,1,4,4,14,11
Antonio Ballester,Lance Dean Folks,ordinal,moon,0.43457563619104556,0.42857142857142855,0.038461538461538464,0.39285714285714285,0.019230769230769232,0.9723805570730131,0.7559523809523809,0.42857142857142855,0.038461538461538464,6,1,4,4,14,11
Antonio Ballester,Lance Dean Folks,hebrew_literal,saturn,0.5993051103903285,0.875,0.22727272727272727,0.7083333333333334,0.20454545454545456,0.9608874805237897,0.6197916666666666,0.875,0.22727272727272727,7,5,0,1,10,7
Antonio Ballester,Lance Dean Folks,hebrew_literal,jupiter,0.4829998835000027,0.7,0.13636363636363635,0.5666666666666667,0.11363636363636363,0.9896659676666832,0.39166666666666666,0.7,0.13636363636363635,7,3,2,1,11,8
Antonio Ballester,Lance Dean Folks,hebrew_literal,mars,0.486261825300257,0.7142857142857143,0.15,0.4809523809523809,0.125,0.9651899994205896,0.48214285714285715,0.7142857142857143,0.15,5,3,1,1,11,6
Antonio Ballester,Lance Dean Folks,hebrew_literal,sun,0.5324437077154678,0.7272727272727273,0.08,0.5909090909090909,0.06,0.9913505579811186,0.7451298701298701,0.7272727272727273,0.08,8,2,2,1,13,10
