date,asset,long_weight,short_weight,total_weight,net_long_score,strategy_count,active_strategies,ensemble_confidence,consensus_score,breadth_score,confidence_label
2024-08-25,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-26,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-27,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-28,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-29,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-29,BTC-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2024-08-30,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-31,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-01,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-02,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-03,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-04,SOL-USD,0.7007075040129782,0.0,0.7007075040129782,0.7007075040129782,6,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3', 'leader_persistence_72_8']",1.0,1.0,1.0,strong_ensemble_signal
